City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Muscat,OM,75.22,overcast clouds,23.6139,58.5922,
196,Kavaratti,IN,77.77,overcast clouds,10.5669,72.642,
198,Meulaboh,ID,77.67,overcast clouds,4.1363,96.1285,
203,Salinas,US,72.28,clear sky,36.6777,-121.6555,
205,Faanui,PF,77.68,light rain,-16.4833,-151.75,
207,San Pedro,PH,87.31,scattered clouds,14.35,121.0167,
209,Karratha,AU,81.37,clear sky,-20.7377,116.8463,
212,Salalah,OM,75.29,clear sky,17.0151,54.0924,
214,Oranjestad,AW,84.15,few clouds,12.524,-70.027,
216,Panguiranan,PH,82.76,overcast clouds,12.0699,123.3185,
217,Mirador,BR,78.84,clear sky,-6.3708,-44.3631,
224,Bumba,CD,69.37,overcast clouds,2.1833,22.4667,
225,Alice Springs,AU,71.15,overcast clouds,-23.7,133.8833,
226,Bowen,AU,79.25,overcast clouds,-20.0167,148.2333,
230,Mahajanga,MG,71.62,few clouds,-15.7167,46.3167,
231,Cockburn Town,TC,81.7,clear sky,21.4612,-71.1419,
234,Fethiye,TR,71.47,broken clouds,36.6217,29.1164,
235,Trinidad,BO,77.49,overcast clouds,-14.8333,-64.9,
236,San Juan Del Sur,NI,78.1,overcast clouds,11.2529,-85.8705,
237,Latung,PH,81.99,overcast clouds,5.5,120.8833,
239,Dwarka,IN,80.98,few clouds,22.2394,68.9678,
240,Touros,BR,77.56,few clouds,-5.1989,-35.4608,
245,Shwebo,MM,76.08,broken clouds,22.5667,95.7,
246,Alofi,NU,82.29,light intensity drizzle,-19.0595,-169.9187,
247,Mareeba,AU,86.49,broken clouds,-17.0,145.4333,
254,Bandarbeyla,SO,76.46,clear sky,9.4942,50.8122,
255,Gamba,GA,76.82,light rain,-2.65,10.0,
261,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,
263,Tateyama,JP,69.1,light rain,34.9833,139.8667,
265,Goure,NE,80.8,clear sky,13.9835,10.2704,
266,Rosetta,EG,71.24,broken clouds,31.4044,30.4164,
267,Luganville,VU,85.62,clear sky,-15.5333,167.1667,
272,Parvatsar,IN,69.28,clear sky,26.8833,74.7667,
274,Atar,MR,90.9,overcast clouds,20.5169,-13.0499,
278,Adrar,MR,85.1,overcast clouds,20.5022,-10.0711,
279,Tutoia,BR,80.02,scattered clouds,-2.7619,-42.2744,
282,Trincomalee,LK,78.66,overcast clouds,8.5711,81.2335,
284,Niquero,CU,78.98,clear sky,20.0431,-77.5828,
285,Metro,ID,79.79,overcast clouds,-5.1131,105.3067,
287,Pacific Grove,US,71.89,clear sky,36.6177,-121.9166,
292,Anton Lizardo,MX,81.21,broken clouds,19.05,-95.9833,
294,Dunmore Town,BS,82.02,scattered clouds,25.5,-76.65,
295,Saint George,US,83.43,clear sky,37.1041,-113.5841,
296,Edd,ER,86.04,clear sky,13.9297,41.6925,
297,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,
300,Sirur,IN,73.22,overcast clouds,18.8333,74.3833,
303,Kieta,PG,85.08,broken clouds,-6.2167,155.6333,
305,Georgetown,MY,80.53,few clouds,5.4112,100.3354,
306,Carnarvon,AU,71.49,clear sky,-24.8667,113.6333,
309,Vao,NC,73.56,few clouds,-22.6667,167.4833,
310,Kantang,TH,77.09,moderate rain,7.4054,99.5156,
312,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,
318,Boyolangu,ID,78.15,moderate rain,-8.1181,111.8935,
319,Blackwater,AU,80.96,overcast clouds,-23.5833,148.8833,
323,Teknaf,BD,78.44,overcast clouds,20.8624,92.3058,
326,Jutai,BR,75.15,overcast clouds,-5.1833,-68.9,
328,Avera,US,69.85,clear sky,33.194,-82.5271,
331,Portland,US,71.82,smoke,45.5234,-122.6762,
332,Dakar,SN,82.53,clear sky,14.6937,-17.4441,
334,Takoradi,GH,77.29,few clouds,4.8845,-1.7554,
335,Oistins,BB,80.69,few clouds,13.0667,-59.5333,
336,Port Blair,IN,77.04,mist,11.6667,92.75,
344,Tiznit,MA,79.93,overcast clouds,29.5833,-9.5,
346,San Felipe,VE,72.9,overcast clouds,10.3399,-68.7425,
347,Labuhan,ID,81.41,light rain,-6.8844,112.2051,
349,Tual,ID,83.71,overcast clouds,-5.6667,132.75,
350,Ceres,US,77.81,clear sky,37.5949,-120.9577,
353,Yaguaron,PY,71.55,overcast clouds,-25.6,-57.3,
354,Kainantu,PG,74.89,overcast clouds,-6.2887,145.8655,
356,Abu Dhabi,AE,84.22,overcast clouds,24.4667,54.3667,
359,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,
364,Riyadh,SA,69.94,overcast clouds,24.6877,46.7219,
365,Inirida,CO,73.65,overcast clouds,3.8653,-67.9239,
367,Port Macquarie,AU,71.89,overcast clouds,-31.4333,152.9167,
368,Singkang,MY,78.71,overcast clouds,2.1006,102.7994,
371,Ambon,ID,87.94,few clouds,-3.6954,128.1814,
378,Balaghat,IN,70.18,clear sky,21.8,80.1833,
381,Hirara,JP,73.26,mist,24.8,125.2833,
382,Girona,ES,69.24,scattered clouds,41.9831,2.8249,
384,Champerico,GT,79.75,light rain,14.3,-91.9167,
386,Muncar,ID,79.03,overcast clouds,-8.4333,114.3333,
387,Camacari,BR,78.57,clear sky,-12.6975,-38.3242,
389,Tessalit,ML,80.31,clear sky,20.1986,1.0114,
392,Half Moon Bay,US,73.31,clear sky,37.4636,-122.4286,
393,Port-Gentil,GA,78.8,moderate rain,-0.7193,8.7815,
394,Bocas Del Toro,PA,80.92,broken clouds,9.3333,-82.25,
395,Itarema,BR,78.89,broken clouds,-2.9248,-39.9167,
396,Ayame,CI,73.36,overcast clouds,5.6083,-3.1563,
401,Vanimo,PG,84.69,overcast clouds,-2.6741,141.3028,
402,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,
410,Karachi,PK,69.62,clear sky,24.9056,67.0822,
414,Kuala Terengganu,MY,83.98,few clouds,5.3302,103.1408,
417,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,
419,Felipe Carrillo Puerto,MX,75.67,overcast clouds,19.5833,-88.05,
420,Galveston,US,71.56,clear sky,29.3669,-94.9669,
423,Byron Bay,AU,70.72,light rain,-28.65,153.6167,
427,Merauke,ID,84.49,overcast clouds,-8.4667,140.3333,
429,Havelock,US,73.94,clear sky,34.8791,-76.9013,
431,Morgan City,US,69.03,clear sky,29.6994,-91.2068,
438,Coari,BR,75.02,overcast clouds,-4.085,-63.1414,
447,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,
448,Benghazi,LY,69.6,clear sky,32.1167,20.0667,
449,Sao Felix Do Xingu,BR,77.41,light rain,-6.6447,-51.995,
451,Thinadhoo,MV,81.84,overcast clouds,0.5333,72.9333,
453,Goundam,ML,89.44,broken clouds,16.4145,-3.6708,
454,Sorong,ID,84.51,overcast clouds,-0.8833,131.25,
456,Hobyo,SO,77.67,broken clouds,5.3505,48.5268,
459,Tefe,BR,80.71,clear sky,-3.3542,-64.7114,
462,Jizan,SA,85.14,scattered clouds,17.3333,42.6667,
